lid,name,date_time,parameter,result,result_units,depth,dep_units,lat,lon,NWSC_Max
AISP,Aiston Preserve,2018-07-31 00:00:00,temperature,16.0,celsius,0.0,m,48.68035507,-122.629921,1.0
AISP,Aiston Preserve,2019-08-01 00:00:00,temperature,16.0,celsius,0.0,m,48.68035507,-122.629921,1.0
AISP,Aiston Preserve,2020-07-20 00:00:00,temperature,15.15,celsius,0.0,m,48.68035507,-122.629921,1.0
AISP,Aiston Preserve,2021-07-27 00:00:00,temperature,14.44,celsius,0.0,m,48.68035507,-122.629921,1.0
AISP,Aiston Preserve,2022-07-31 00:00:00,temperature,20.0,celsius,0.0,m,48.68035507,-122.629921,1.0
AISP,Aiston Preserve,2023-07-20 00:00:00,temperature,12.2,celsius,0.0,m,48.68035507,-122.629921,1.0
AISP,Aiston Preserve,2024-07-21 00:00:00,temperature,14.7,celsius,0.0,m,48.68035507,-122.629921,1.0
BZPT,Biz Point,2017-07-25 00:00:00,temperature,11.0,celsius,0.0,m,48.44162829,-122.678342,1.0
BZPT,Biz Point,2018-08-13 00:00:00,temperature,12.0,celsius,0.0,m,48.44162829,-122.678342,1.0
BZPT,Biz Point,2019-08-26 00:00:00,temperature,12.0,celsius,0.0,m,48.44162829,-122.678342,1.0
BZPT,Biz Point,2020-07-23 00:00:00,temperature,,celsius,0.0,m,48.44162829,-122.678342,1.0
BZPT,Biz Point,2021-08-20 00:00:00,temperature,,celsius,0.0,m,48.44162829,-122.678342,1.0
BZPT,Biz Point,2022-09-08 00:00:00,temperature,,celsius,0.0,m,48.44162829,-122.678342,1.0
BZPT,Biz Point,2023-08-13 00:00:00,temperature,,celsius,0.0,m,48.44162829,-122.678342,1.0
BZPT,Biz Point,2024-09-16 00:00:00,temperature,,celsius,0.0,m,48.44162829,-122.678342,1.0
BZPT-S,Biz Point,2023-08-13 00:00:00,temperature,,celsius,0.0,m,48.44162829,-122.678342,1.0
CHPT,Cherry Point-Gulf Rd,2017-09-04 00:00:00,temperature,,celsius,0.0,m,48.8502637,-122.723385,1.0
CHPT,Cherry Point-Gulf Rd,2018-08-08 00:00:00,temperature,13.0,celsius,0.0,m,48.8502637,-122.723385,1.0
CHPT,Cherry Point-Gulf Rd,2019-08-13 00:00:00,temperature,14.0,celsius,0.0,m,48.8502637,-122.723385,1.0
CHPT,Cherry Point-Gulf Rd,2020-09-01 00:00:00,temperature,13.3,celsius,0.0,m,48.8502637,-122.723385,1.0
CHPT,Cherry Point-Gulf Rd,2021-08-10 00:00:00,temperature,13.335,celsius,0.0,m,48.8502637,-122.723385,1.0
CHPT,Cherry Point-Gulf Rd,2022-08-11 00:00:00,temperature,13.61,celsius,0.0,m,48.8502637,-122.723385,1.0
CHPT,Cherry Point-Gulf Rd,2023-08-03 00:00:00,temperature,12.1,celsius,0.0,m,48.8502637,-122.723385,1.0
CHPT,Cherry Point-Gulf Rd,2024-09-01 00:00:00,temperature,13.350000000000001,celsius,0.0,m,48.8502637,-122.723385,1.0
